request_rate,ip_change,failed_attempts,device_trust,time_of_day,location_risk,is_attack
32.43,1,1,0.14,2,0.87,1
2.61,0,0,0.86,12,0.16,1
3.53,0,1,0.67,13,0.01,0
0.33,0,0,0.69,17,0.26,1
2.47,0,10,0.57,10,0.31,1
25.16,0,6,0.31,21,0.64,1
3.55,0,0,0.89,6,0.04,0
5.8,0,0,0.77,16,0.16,0
5.55,0,0,0.58,22,0.41,0
20.42,1,0,0.04,23,0.83,1
23.63,1,9,0.26,23,0.59,1
3.75,0,3,0.4,17,0.29,0
2.98,0,0,0.72,11,0.17,0
25.92,1,4,0.46,21,0.71,1
3.7,1,0,0.44,14,0.53,1
0.1,0,0,0.68,12,0.11,0
26.97,1,0,0.37,4,0.61,0
21.07,1,0,0.18,2,0.51,1
3.63,0,0,0.58,9,0.12,0
1.84,0,0,0.79,17,0.21,0
19.55,1,10,0.45,21,0.7,1
18.66,1,9,0.38,1,0.74,1
2.71,0,0,0.76,0,0.16,0
17.67,1,4,0.26,5,0.37,1
20.66,1,1,0.02,20,0.79,1
12.86,0,2,0.2,3,0.78,1
1.23,0,0,0.72,16,0.11,0
6.96,1,5,0.8,19,0.36,1
45.1,0,1,0.21,3,0.65,1
2.76,0,1,0.8,18,0.15,0
2.05,0,0,0.73,13,0.09,0
22.89,1,2,0.18,3,0.65,1
6.48,1,0,0.25,14,0.5,1
2.29,0,0,0.91,10,0.13,0
3.56,0,0,0.66,8,0.06,0
3.42,1,2,0.76,12,0.35,0
10.68,0,0,0.85,7,0.41,0
7.87,0,6,0.54,14,0.23,1
8.72,0,4,0.61,3,0.53,1
2.89,0,0,0.76,12,0.19,0
3.1,0,3,0.46,14,0.63,1
10.04,1,0,0.43,0,0.59,1
1.68,0,0,0.7,13,0.08,0
5.69,1,0,0.54,13,0.67,1
32.73,1,4,0.15,23,0.87,1
5.12,0,2,0.39,12,0.44,1
39.41,1,0,0.24,22,0.48,1
4.86,0,0,0.73,7,0.0,0
1.14,0,0,0.79,14,0.23,0
36.1,1,17,0.27,23,0.57,1
23.8,0,9,0.45,21,1.0,1
14.24,0,0,0.99,11,0.17,0
3.63,0,4,0.56,20,0.44,0
4.55,0,0,0.9,10,0.21,0
1.44,0,0,0.89,10,0.4,0
20.93,1,12,0.36,3,0.67,1
23.19,1,6,0.34,4,0.57,0
1.92,0,0,0.73,14,0.12,0
13.91,0,4,0.83,10,0.43,0
5.58,0,0,0.58,11,0.48,0
7.15,0,0,0.77,14,0.07,1
19.41,0,1,0.27,23,0.8,1
4.02,0,0,0.78,8,0.25,0
3.03,0,0,0.92,8,0.39,0
23.93,1,0,0.26,21,0.64,1
4.44,0,0,0.45,3,0.18,0
13.64,0,0,0.9,14,0.33,0
4.4,0,0,0.87,17,0.17,0
0.1,0,6,0.19,20,0.68,1
32.82,1,1,0.22,1,0.82,1
2.38,1,0,0.81,10,0.09,0
32.64,0,4,0.65,23,0.66,1
5.84,0,0,0.36,7,0.59,0
4.26,0,0,0.86,15,0.1,0
5.08,0,1,0.75,8,0.15,0
8.01,0,1,0.9,15,0.26,0
1.59,0,0,0.83,7,0.32,0
12.73,0,1,0.86,13,0.23,0
12.81,0,2,0.87,6,0.03,0
7.19,1,2,0.49,13,0.32,1
28.58,1,3,0.19,0,0.6,1
35.45,0,4,0.32,20,0.58,1
3.04,0,0,0.81,15,0.23,0
16.68,0,24,0.37,21,0.7,1
10.84,0,2,0.86,7,0.31,0
7.84,0,1,0.68,15,0.06,0
36.98,1,8,0.46,2,0.66,0
4.82,0,0,0.64,9,0.0,0
4.17,0,0,0.71,16,0.2,0
5.31,0,1,0.3,13,0.31,1
27.86,1,6,0.2,22,0.72,1
11.33,1,2,0.65,11,0.25,1
24.07,1,6,0.36,5,0.93,0
2.4,0,0,0.8,15,0.24,0
12.75,0,1,0.88,13,0.31,0
2.55,0,0,0.81,11,0.11,0
27.89,1,2,0.21,4,0.69,1
6.05,0,0,0.82,2,0.41,0
41.05,1,0,0.33,20,0.86,1
2.92,0,0,0.79,10,0.36,0
3.24,0,0,0.68,12,0.24,0
30.75,1,3,0.14,22,0.69,1
1.96,0,0,0.98,13,0.29,0
19.51,0,1,0.85,18,0.08,0
18.55,0,3,0.0,0,0.82,1
7.71,0,1,0.82,12,0.09,0
5.57,0,2,0.42,14,0.58,0
13.28,0,2,0.73,5,0.29,0
9.94,1,0,0.27,11,0.35,1
18.19,0,0,0.85,16,0.26,1
0.1,0,1,0.88,0,0.2,0
3.55,1,0,0.64,17,0.0,0
28.66,1,1,0.37,1,0.88,1
18.14,1,0,0.2,3,0.52,1
6.68,0,0,0.72,16,0.41,1
11.61,1,14,0.43,23,0.91,1
8.06,1,1,0.68,17,0.72,1
3.29,0,0,0.87,9,0.34,0
21.38,1,1,0.19,21,0.52,1
4.28,0,4,0.41,11,0.26,1
3.19,0,0,0.88,8,0.33,1
7.2,1,3,0.96,19,0.12,0
19.69,0,5,0.03,0,0.77,1
1.83,0,1,0.77,17,0.23,0
3.19,0,1,0.68,10,0.22,0
1.77,0,2,0.81,10,0.09,0
25.02,0,0,0.19,22,0.43,1
29.73,0,1,0.5,23,0.76,1
5.09,0,0,0.62,7,0.1,0
6.58,0,0,0.46,17,0.42,1
2.28,0,0,0.58,15,0.14,0
2.67,0,0,0.79,15,0.1,0
13.26,1,8,0.19,5,0.59,1
3.83,0,0,0.86,12,-0.0,0
3.81,0,1,0.75,10,0.16,0
5.81,0,0,0.77,12,0.0,0
8.82,1,3,0.59,3,0.52,1
2.92,0,0,0.7,13,0.01,0
11.19,0,0,0.78,17,-0.0,0
4.55,0,0,0.91,15,0.35,0
9.68,0,0,0.93,7,0.24,0
12.27,0,0,0.88,10,0.19,1
8.57,0,0,1.0,8,0.16,0
2.37,0,0,0.76,15,0.13,0
35.32,0,0,0.46,2,0.69,1
2.63,0,0,0.82,11,0.18,0
2.62,0,1,0.75,15,0.0,1
4.77,0,1,0.41,15,0.44,1
7.19,1,1,0.49,11,0.48,1
5.14,0,0,0.54,18,0.36,0
13.02,1,0,0.34,3,0.41,1
4.25,1,5,0.43,7,0.46,1
3.96,0,0,0.49,9,0.22,0
26.74,1,2,0.15,22,0.68,1
15.34,0,0,0.96,17,0.4,0
2.89,0,0,1.0,13,0.16,0
37.31,0,0,0.54,20,0.61,1
3.61,0,0,0.87,10,0.12,0
3.54,0,0,1.0,12,0.1,0
2.46,0,0,0.96,11,0.31,0
20.86,0,2,0.74,9,0.2,0
4.22,0,0,0.71,13,0.19,0
14.27,1,5,0.33,1,0.78,1
38.02,1,4,0.61,21,0.65,1
3.48,0,0,0.78,11,0.12,0
4.5,0,1,0.8,16,0.2,0
7.05,0,0,0.87,8,0.18,0
3.98,0,0,0.73,11,0.17,0
39.6,0,13,0.21,3,0.74,1
2.93,0,0,0.72,10,0.14,0
4.07,0,2,0.12,8,0.44,1
3.93,0,0,0.63,11,0.15,0
14.23,1,8,0.28,5,0.73,1
3.98,0,0,0.42,6,0.66,0
4.31,1,6,0.56,23,0.64,1
2.71,0,0,0.73,21,0.22,0
3.91,0,0,0.78,14,0.24,0
4.68,0,0,0.96,11,0.26,0
1.24,1,0,0.74,13,0.18,0
6.2,0,0,0.32,17,0.55,1
23.91,0,25,0.2,5,0.98,1
10.8,0,0,0.93,14,0.23,0
3.11,0,1,0.27,9,0.31,0
3.8,0,0,0.83,17,0.32,0
5.84,0,5,0.86,1,0.43,1
6.85,0,0,1.0,14,0.36,0
5.24,0,2,0.54,11,0.45,0
14.91,0,0,0.99,17,0.07,1
1.78,0,1,0.74,15,0.17,0
14.26,1,3,0.24,2,0.95,1
7.03,0,0,0.76,6,0.19,0
2.93,0,0,0.72,12,0.07,0
0.19,0,0,0.64,8,0.04,0
2.31,0,0,0.8,14,0.24,0
15.03,1,11,0.52,1,0.66,1
8.55,0,0,0.58,14,0.2,0
7.7,1,1,0.31,3,0.64,1
4.96,0,2,0.78,9,0.16,0
17.48,0,2,0.07,3,0.65,0
13.52,0,0,0.93,10,0.22,0
4.03,0,0,0.81,12,0.04,0
4.38,0,0,0.58,11,0.25,0
12.1,0,1,0.96,13,0.16,0
3.65,0,0,0.68,16,0.11,0
2.41,0,0,0.77,11,0.16,0
2.88,0,0,0.87,11,0.11,0
9.97,0,2,0.57,21,0.0,0
3.17,0,0,0.49,16,0.47,0
1.6,0,0,0.84,11,0.21,0
16.14,1,0,0.42,5,0.71,1
4.48,0,0,0.95,17,0.25,0
11.5,0,0,0.9,8,0.0,0
26.75,0,3,0.31,20,0.74,0
7.72,0,0,0.35,18,0.51,1
7.85,0,3,0.64,16,0.18,0
5.02,1,2,0.96,4,0.25,0
15.79,1,3,0.35,1,0.7,1
13.78,0,0,0.97,9,0.28,1
26.13,1,16,0.5,1,0.8,1
25.2,1,1,0.08,23,0.77,0
2.48,0,2,0.87,8,0.08,0
11.86,0,2,0.81,11,0.17,0
2.76,0,0,0.84,13,0.14,0
4.02,0,0,0.55,12,0.72,1
7.76,0,1,0.68,11,0.19,1
6.45,0,1,0.69,14,0.37,1
5.07,0,0,0.87,12,0.18,0
8.46,0,0,0.82,16,0.13,0
2.18,0,1,0.89,7,0.05,0
0.87,0,0,0.88,14,0.18,0
36.0,1,6,0.2,23,0.76,1
5.18,0,2,0.7,18,0.27,0
1.54,0,2,0.86,18,0.06,0
4.95,0,0,0.76,14,0.12,1
3.61,0,0,0.54,14,0.18,0
10.91,0,1,1.0,7,0.39,0
26.66,0,1,0.32,3,0.63,1
0.78,0,1,0.68,11,0.12,0
34.55,0,0,0.29,23,0.77,1
4.85,0,2,1.0,13,0.0,0
19.32,0,0,0.78,8,0.04,0
8.75,0,0,0.45,4,0.0,1
29.45,1,3,0.07,21,0.47,1
5.25,0,1,0.37,11,0.85,1
6.05,0,0,1.0,12,-0.0,0
3.3,0,1,0.86,9,0.24,0
31.95,0,9,0.37,4,0.4,1
27.2,1,6,0.24,5,0.6,1
24.38,1,0,0.06,20,0.43,0
36.06,1,5,0.48,3,0.58,0
2.13,0,0,1.0,8,0.0,0
29.29,0,16,0.41,0,0.78,1
5.88,0,0,0.85,11,0.18,0
12.97,0,0,0.85,5,0.24,0
2.78,1,0,0.64,11,0.09,0
3.36,0,0,0.5,14,0.27,1
26.27,1,4,0.44,22,0.75,1
2.65,0,0,0.71,10,0.14,0
9.1,1,1,0.3,21,0.94,1
14.0,0,1,0.85,13,0.15,0
4.53,0,0,0.85,11,0.26,0
23.92,0,7,0.48,20,0.45,1
7.48,0,0,0.9,7,0.34,0
4.23,0,0,0.77,15,0.17,0
3.3,0,9,0.65,12,0.42,1
15.37,0,1,0.87,9,0.16,0
5.29,0,1,0.44,18,0.49,1
2.82,0,1,0.82,9,0.21,0
22.44,0,0,0.04,5,0.76,1
17.43,1,0,0.26,1,0.64,1
2.78,1,0,0.61,13,0.49,0
0.1,1,1,0.42,8,0.44,0
10.02,0,4,0.4,7,0.48,0
16.11,1,1,0.51,20,0.69,1
1.7,0,0,0.91,15,0.0,0
6.16,0,1,0.35,15,0.44,1
2.36,0,0,0.66,9,0.0,0
2.22,0,0,0.78,16,0.24,0
2.88,1,5,0.86,0,0.54,1
2.2,0,0,0.68,14,0.12,0
23.93,1,1,0.14,4,0.71,1
21.39,1,2,0.32,21,0.87,1
1.34,0,0,0.96,14,0.3,0
15.57,0,0,0.85,12,0.23,0
1.62,0,1,0.63,10,0.08,0
0.71,0,0,0.69,13,0.23,0
22.26,0,0,-0.0,4,1.0,1
2.76,0,0,0.77,10,0.0,0
15.73,0,1,0.82,10,0.14,1
1.91,0,2,0.72,4,0.23,0
6.57,1,0,0.85,11,0.17,0
27.25,1,1,0.41,0,0.72,1
17.23,0,0,0.83,14,0.15,0
3.5,0,0,0.85,16,0.06,0
8.44,0,2,0.93,8,0.19,0
33.62,0,0,0.3,4,0.62,0
18.41,1,10,0.37,23,0.58,0
3.5,0,0,0.95,8,0.1,0
3.13,0,0,0.79,9,0.24,0
9.37,0,2,0.5,2,0.45,0
12.4,0,1,0.97,13,0.22,1
1.76,0,0,0.86,11,0.13,1
46.41,1,6,0.19,4,1.0,1
2.22,0,0,0.82,18,0.03,0
3.81,0,0,0.81,11,0.09,0
2.43,0,0,0.9,16,0.21,0
6.39,0,3,0.7,15,0.4,1
13.62,0,0,0.85,11,0.4,0
14.64,0,0,0.87,13,0.23,0
26.36,0,0,0.07,22,0.49,1
1.95,0,0,0.74,18,0.22,0
37.7,1,2,0.35,23,0.67,1
2.75,0,0,0.83,9,0.13,0
13.33,0,1,0.77,9,0.13,1
7.63,0,0,0.54,5,0.55,0
20.28,1,3,0.46,21,0.78,1
6.08,0,1,0.7,8,0.56,0
41.05,1,9,0.15,20,0.71,1
2.45,0,0,0.9,13,0.1,0
9.92,0,0,0.77,12,0.32,1
2.07,0,0,0.88,19,0.0,0
3.99,0,1,0.92,14,0.28,0
2.89,1,1,0.62,12,0.21,0
12.83,0,0,0.9,15,0.17,0
11.45,0,0,0.94,7,0.18,0
25.59,0,0,0.0,4,0.48,0
11.05,0,1,0.76,10,0.2,0
2.59,0,0,0.68,14,0.13,0
4.72,0,0,0.68,11,0.24,1
4.05,0,1,0.9,12,0.04,0
3.16,1,0,0.4,14,0.32,0
4.15,0,0,0.74,9,0.25,1
5.21,0,1,0.73,12,-0.0,0
4.96,1,0,0.38,12,0.73,0
30.88,1,25,0.21,1,0.67,1
3.05,0,0,0.89,6,0.24,0
16.45,1,2,0.71,4,0.13,0
26.16,1,7,0.33,3,0.61,1
16.84,0,0,0.68,6,0.13,0
6.74,0,0,0.47,14,0.21,0
2.1,0,0,0.9,12,0.14,0
3.06,0,0,0.89,11,0.08,0
8.41,0,12,0.55,16,0.6,1
4.32,0,0,0.57,15,0.24,0
21.21,0,0,0.86,6,0.11,0
45.54,0,6,0.43,4,1.0,1
14.68,0,1,0.8,8,0.34,0
26.75,1,0,0.35,22,0.65,1
4.69,0,1,0.86,14,0.16,0
13.26,0,0,0.7,9,0.15,0
22.96,1,3,0.36,20,0.56,1
4.3,0,0,0.53,10,0.06,0
12.05,0,2,0.96,10,0.18,1
31.79,0,13,0.25,0,0.95,0
29.45,1,15,0.26,23,0.79,1
19.92,1,7,0.43,23,0.78,0
1.21,0,0,0.58,10,0.15,0
17.61,1,3,0.19,2,0.54,0
3.99,0,0,0.91,8,0.13,0
2.44,0,0,0.88,9,0.13,1
3.93,0,0,0.88,11,0.22,1
6.75,0,0,0.41,22,0.39,0
26.49,1,1,0.27,1,0.56,1
3.8,0,0,0.75,14,0.0,0
13.19,0,0,0.97,11,0.0,0
2.33,0,0,0.91,15,0.15,0
1.25,1,0,0.68,11,0.17,1
1.31,0,0,0.4,14,0.47,0
29.28,0,1,0.51,5,0.41,1
4.75,0,3,0.43,16,0.51,0
0.77,0,0,0.8,11,0.21,0
17.48,0,1,0.79,8,0.09,0
24.71,1,0,0.26,4,0.67,1
12.46,0,4,0.68,14,0.13,0
39.34,1,17,0.21,22,0.58,1
44.63,1,0,0.3,20,0.62,1
2.35,0,0,0.81,13,0.21,1
2.26,1,0,0.93,10,-0.0,0
3.93,0,0,0.99,13,0.19,0
4.72,0,1,0.79,15,0.07,0
23.97,0,5,0.23,21,0.68,0
2.44,0,1,0.96,14,0.11,0
4.64,0,1,0.41,11,0.63,1
2.81,0,0,0.75,8,0.16,0
4.54,1,1,0.58,11,0.59,1
27.15,1,2,0.17,3,0.48,1
5.7,0,1,0.62,12,0.55,0
4.1,0,0,0.7,17,0.31,0
23.09,1,1,0.23,5,0.83,1
13.54,0,1,0.53,18,0.37,0
3.73,0,0,0.72,10,0.08,0
9.43,0,0,0.99,10,0.0,0
1.58,0,1,0.49,6,0.1,0
2.19,0,0,0.77,12,0.08,0
30.68,0,4,0.16,20,0.96,1
2.13,0,1,0.9,14,0.11,0
3.6,0,0,1.0,16,0.08,0
3.65,1,0,0.84,16,0.27,0
26.34,1,12,0.47,22,0.69,1
7.13,0,2,0.64,2,0.54,1
3.02,0,0,0.65,12,0.13,0
1.86,0,0,0.8,12,0.0,0
24.52,1,2,0.59,3,0.89,1
1.84,0,0,0.55,13,0.51,1
2.27,0,0,0.77,16,0.0,0
1.81,1,0,0.63,11,0.44,1
3.49,0,0,0.5,10,0.6,0
2.22,0,0,0.98,15,0.2,0
5.54,0,0,0.95,13,0.08,0
1.9,0,0,0.71,13,0.23,0
22.26,1,0,0.2,21,0.56,0
7.47,0,0,0.88,16,0.23,0
31.91,1,3,0.27,21,0.59,1
8.58,0,0,0.68,20,0.35,0
30.32,0,13,0.07,21,0.56,0
10.14,0,0,0.91,6,0.02,0
1.01,0,0,0.8,12,0.19,0
25.25,1,0,0.0,2,0.67,1
13.73,0,2,0.85,16,0.25,1
10.33,1,0,0.53,20,0.5,1
10.35,0,1,0.53,17,0.49,1
2.96,0,0,0.92,13,0.18,1
2.6,0,0,0.9,13,0.28,0
12.0,0,6,0.77,8,0.14,0
12.87,0,1,0.81,8,0.3,0
3.71,1,0,0.63,14,0.42,0
3.17,0,0,0.8,15,0.03,0
5.56,0,0,0.48,23,0.74,0
4.66,0,0,0.41,7,0.67,1
3.54,0,0,0.64,14,0.12,1
24.97,1,3,0.44,20,0.65,0
6.74,0,0,0.62,21,0.69,0
32.86,0,1,0.4,2,0.94,1
2.93,0,0,0.91,12,0.27,0
12.21,0,2,0.88,6,0.24,0
15.05,1,0,0.96,9,0.2,1
42.75,0,2,0.4,21,0.85,1
4.21,0,0,0.82,8,0.0,1
0.1,0,0,0.78,8,0.1,0
2.2,0,0,0.82,12,0.19,0
7.6,0,0,0.39,7,0.63,1
4.43,0,0,0.88,9,0.16,0
41.35,1,8,0.28,21,0.63,1
1.66,0,0,0.83,16,0.0,0
6.27,0,1,0.59,15,0.46,0
4.89,0,0,0.65,11,0.19,0
0.1,0,0,0.74,14,0.01,0
4.5,0,0,0.7,11,0.16,0
3.0,0,0,0.9,12,0.05,0
9.0,0,0,0.91,10,0.06,0
5.14,0,0,0.63,8,0.42,1
1.36,0,0,0.66,10,0.0,0
3.52,1,0,0.74,18,0.23,0
3.97,0,0,0.89,13,0.08,0
15.38,0,0,0.59,0,0.29,0
1.92,0,0,0.86,16,0.09,0
4.45,0,0,0.75,16,0.25,0
19.62,1,6,0.23,1,0.44,1
28.04,1,4,0.31,1,0.8,1
2.28,0,0,0.96,13,0.13,0
2.07,0,0,0.74,12,0.24,0
15.38,0,0,0.96,11,0.25,0
9.94,0,0,0.57,9,0.42,0
2.07,0,0,0.67,13,0.24,0
15.47,1,6,0.22,4,0.83,1
8.04,0,0,0.75,11,0.06,0
35.32,0,4,0.08,2,0.81,0
2.39,0,0,0.95,12,0.1,0
31.82,0,1,0.46,21,0.41,1
6.01,0,1,0.67,14,0.51,1
3.24,0,0,0.45,18,0.39,1
3.64,0,1,0.78,14,0.21,0
7.35,0,3,0.48,14,0.58,1
3.91,1,0,0.97,13,0.26,0
7.69,0,1,0.95,8,0.14,0
30.13,1,5,0.26,23,0.53,1
2.62,0,0,0.82,16,0.38,0
1.42,0,2,0.44,17,0.42,0
17.27,0,0,0.92,7,0.12,0
12.33,0,0,0.85,19,0.16,0
23.82,0,2,0.13,20,0.72,1
8.78,0,0,0.85,10,0.25,0
2.42,0,0,0.8,12,0.08,0
16.51,0,2,0.88,15,0.0,0
16.37,0,0,0.8,9,0.17,0
3.76,0,0,0.76,8,0.14,0
36.17,1,10,0.35,4,0.71,1
20.41,1,2,0.28,1,0.77,1
2.72,0,0,0.79,8,0.18,0
9.74,1,2,0.25,21,0.63,1
9.15,0,0,0.82,3,0.28,0
5.7,0,1,0.97,9,0.19,1
12.48,0,0,0.94,3,0.24,0
4.03,0,0,0.73,16,0.22,0
2.21,0,0,0.95,13,0.09,1
35.31,1,2,0.29,0,0.81,1
6.14,0,0,0.48,14,0.54,1
6.99,0,2,0.49,10,0.5,0
36.41,1,1,0.32,5,0.74,1
1.88,0,0,0.87,15,0.33,0
20.63,1,5,0.2,4,0.57,1
2.39,0,0,1.0,11,0.07,0
1.46,0,1,0.73,12,0.06,0
3.0,0,0,0.7,12,0.16,0
29.4,0,5,0.46,3,0.72,0
5.49,0,1,0.42,14,0.65,0
2.89,0,1,0.87,8,0.24,0
25.49,1,9,0.25,5,0.59,1
5.28,0,0,0.98,19,0.22,0
1.57,0,0,0.76,13,0.19,0
28.94,1,3,0.21,4,0.97,1
4.02,0,1,0.81,16,0.21,0
4.55,0,1,0.8,8,0.28,0
9.04,0,0,0.86,4,0.25,0
2.8,0,0,0.85,17,0.01,0
17.16,0,2,0.68,0,0.18,0
18.95,1,1,0.38,20,0.72,1
11.48,1,2,0.43,1,0.17,0
8.32,1,0,0.88,7,0.02,0
5.75,1,4,0.57,10,0.25,1
4.41,0,1,0.83,13,0.09,1
21.5,1,7,0.47,5,0.58,1
0.39,0,0,0.74,6,0.28,0
28.88,1,7,0.31,3,0.56,1
11.38,1,19,0.11,21,0.76,1
26.77,0,1,0.36,3,0.63,1
4.19,0,1,0.71,17,0.23,0
32.47,1,0,0.25,1,0.69,1
5.34,0,0,0.85,10,0.03,0
14.37,1,4,0.45,20,0.84,0
1.76,0,0,0.62,8,0.14,0
2.15,0,0,0.88,16,0.0,0
28.67,1,0,0.1,1,0.64,1
39.06,1,9,0.43,2,0.57,1
9.7,0,1,0.78,5,0.17,0
2.34,0,0,0.73,18,0.06,0
24.7,1,9,0.4,22,0.58,1
7.01,1,0,0.92,12,0.21,0
2.71,0,0,0.9,18,0.09,0
0.1,0,0,0.8,13,0.17,0
15.47,0,0,0.8,10,0.01,0
1.93,0,0,1.0,13,0.42,0
2.15,0,0,0.79,6,0.04,0
7.5,0,2,0.54,12,0.43,1
9.01,0,0,0.59,20,0.53,0
2.33,0,0,1.0,11,0.11,0
24.94,0,3,0.34,4,0.68,1
3.77,0,0,0.96,14,0.08,0
26.77,1,9,0.31,23,0.87,1
27.72,1,2,0.33,3,0.73,0
10.73,0,2,1.0,5,0.44,1
8.82,1,2,0.59,22,0.3,0
4.36,0,0,0.82,12,0.04,0
2.08,0,0,0.78,9,0.06,1
3.45,0,0,0.93,12,0.0,0
8.79,0,2,0.87,12,0.21,0
0.92,0,0,0.79,16,0.21,0
3.66,0,0,0.83,7,0.19,1
8.75,0,0,0.93,19,0.3,0
4.96,0,0,0.79,11,0.09,1
15.24,0,10,0.29,4,0.68,1
5.11,0,0,0.55,13,0.54,0
2.45,0,1,0.77,12,0.08,1
16.76,0,10,0.01,20,0.54,1
3.82,1,2,0.46,16,0.41,0
17.48,1,1,1.0,10,0.24,0
27.74,1,8,0.2,4,0.71,0
12.69,1,1,0.34,3,0.82,1
31.09,1,9,0.39,23,0.36,1
2.27,0,2,0.35,3,0.16,0
0.21,0,0,0.92,10,0.26,0
18.46,0,0,0.43,3,0.57,0
2.7,0,0,0.76,16,0.34,0
43.65,1,3,0.35,2,0.76,1
1.2,0,0,0.59,14,0.28,0
16.79,0,0,0.75,23,0.49,0
4.23,0,0,0.87,15,0.08,0
3.67,0,0,0.72,18,0.17,1
1.1,0,0,0.69,15,0.18,0
9.57,1,2,0.53,5,0.38,0
7.06,1,2,0.7,12,0.4,1
8.6,0,0,0.88,19,0.04,0
2.13,1,0,0.84,14,0.19,0
9.54,0,1,0.73,3,0.14,1
1.82,0,1,0.87,10,0.31,0
6.63,1,0,0.91,9,0.16,0
31.61,0,1,0.21,23,0.57,1
3.42,0,2,0.63,14,0.37,0
16.01,0,1,0.39,4,0.76,1
10.16,1,6,0.55,15,0.02,1
0.1,0,2,0.66,11,0.23,0
3.35,0,1,0.6,19,0.41,1
6.28,0,0,0.57,10,0.29,0
1.78,0,0,0.76,12,0.15,0
45.3,1,13,0.35,4,0.64,0
7.82,0,1,0.58,14,0.17,1
2.81,0,0,0.85,7,0.2,0
5.75,0,0,0.97,9,0.05,0
10.22,0,1,1.0,18,0.13,0
0.45,0,0,0.8,14,0.12,0
0.1,1,0,0.36,12,0.29,0
7.27,0,0,0.89,17,0.7,1
13.67,0,0,0.91,12,0.18,0
21.23,1,2,0.39,0,0.39,1
3.01,0,0,0.78,16,0.24,0
4.35,0,0,0.71,14,0.19,0
1.01,0,1,0.87,12,0.0,0
0.26,0,0,0.9,13,0.15,0
18.62,0,0,0.89,6,0.23,0
8.24,1,4,0.66,20,0.34,1
4.22,0,1,0.56,14,0.57,1
8.9,0,1,0.99,13,0.25,0
5.25,0,0,0.92,9,0.04,0
11.07,0,1,0.58,2,0.44,0
15.91,0,1,1.0,10,0.36,0
8.89,0,3,0.9,5,0.31,1
1.39,0,0,0.63,10,0.23,0
6.94,0,1,0.93,8,0.13,0
11.04,0,2,0.84,11,0.1,0
1.34,0,0,0.66,12,0.03,1
24.55,1,10,0.12,0,0.66,0
13.2,0,1,0.81,11,0.21,0
2.67,1,0,0.92,15,0.34,0
1.7,0,0,0.91,8,0.13,0
17.66,0,0,0.89,14,0.25,0
7.31,0,0,0.38,21,1.0,0
3.26,0,0,0.67,14,0.3,0
2.8,0,0,0.95,14,0.05,0
5.09,0,0,0.75,13,0.2,0
4.4,0,0,0.42,17,0.54,1
19.0,1,4,0.28,0,0.7,1
20.4,1,0,0.14,20,0.55,1
14.9,1,2,0.44,20,0.36,1
26.05,1,0,0.22,22,0.55,1
40.79,0,5,0.34,23,0.69,1
15.67,0,18,0.41,20,0.79,1
17.67,0,0,0.92,13,0.37,0
28.68,1,0,0.14,23,0.76,1
26.92,1,0,0.24,3,1.0,1
3.86,0,0,0.79,14,0.17,0
4.3,0,0,0.8,5,0.14,0
12.51,0,0,0.57,12,0.32,0
2.43,0,0,0.91,8,0.26,0
20.14,0,1,0.97,7,0.27,0
